============================= test session starts ==============================
platform linux -- Python 3.12.3, pytest-8.4.2, pluggy-1.6.0 -- /home/basitdev/Me/StudioProjects/VoiceNoteAPI/venv/bin/python
cachedir: .pytest_cache
rootdir: /home/basitdev/Me/StudioProjects/VoiceNoteAPI
configfile: pytest.ini
plugins: asyncio-1.3.0, locust-2.43.1, anyio-4.12.1
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 500 items

tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_existing_file_001 FAILED [  0%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_nonexistent_file_002 PASSED [  0%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_empty_file_003 PASSED [  0%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_corrupted_file_004 PASSED [  0%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_wrong_format_005 PASSED [  1%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_various_scenarios[6] PASSED [  1%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_various_scenarios[7] PASSED [  1%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_various_scenarios[8] PASSED [  1%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_various_scenarios[9] PASSED [  1%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_various_scenarios[10] PASSED [  2%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_various_scenarios[11] PASSED [  2%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_various_scenarios[12] PASSED [  2%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_various_scenarios[13] PASSED [  2%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_various_scenarios[14] PASSED [  2%]
tests/integration/test_comprehensive_500_part1.py::TestAudioValidation::test_validate_various_scenarios[15] PASSED [  3%]
